Issue Type,Epic Name,Epic Link,Summary,Description,Priority,Labels,Component,Story Points,Acceptance Criteria
Story,,Sequences & Auto-Numbering,REQ-29.2: Custom Number Formats,"Help Topics can specify custom ticket number formats using sequence references and date patterns.

Source: include/class.topic.php, include/class.sequence.php format()",Low,"mosticket,modernization",Data-Model,3,"- Ticket number format supports date-based patterns (YYYY, MM, DD)
- Format supports sequence-based incrementing digits
- Help topics can override the default number format
- Generated numbers are unique across the system
- Format preview shows a sample number in admin UI"
Epic,Session & Security Infrastructure,,REQ-30: Session & Security Infrastructure,"Replicate osTicket's session management, CSRF protection, and cryptographic utilities. Source: include/class.ostsession.php, include/class.csrf.php, include/class.crypto.php",High,"mosticket,modernization",Security,,
Story,,Session & Security Infrastructure,REQ-30.1: Session Management,"osTicketSession stores sessions in the database with configurable timeout. Sessions track user type (staff/client), IP, user agent, and last activity.

Source: include/class.ostsession.php, include/class.session.php",Medium,"mosticket,modernization",Security,5,"- Sessions are stored server-side (not client cookies only)
- Session timeout is configurable (separate for staff and client)
- Sessions track user type, IP, user agent, and last activity timestamp
- Expired sessions are automatically cleaned up by cron
- Concurrent session limit is configurable per user
- Session invalidation on password change is enforced"
Story,,Session & Security Infrastructure,REQ-30.2: CSRF Protection,"CSRF token generated per session and validated on all state-changing requests. Token is embedded as hidden form field and validated via X-CSRFToken header for AJAX.

Source: include/class.csrf.php",Medium,"mosticket,modernization",Security,3,"- CSRF token is generated per session and rotated periodically
- All POST/PUT/DELETE requests require valid CSRF token
- Token is embedded in forms as a hidden field
- AJAX requests send token via X-CSRFToken header
- Invalid or missing token returns 403 Forbidden
- Token mismatch is logged as a security event"
Story,,Session & Security Infrastructure,REQ-30.3: Cryptographic Utilities,"Crypto class provides: random string generation, encryption/decryption (AES), HMAC signing, and secure token generation.

Source: include/class.crypto.php",Low,"mosticket,modernization",Security,3,"- Random string generation uses cryptographically secure random source
- AES encryption/decryption is available for sensitive data at rest
- HMAC signing is used for URL tokens and file access signatures
- Key material is derived from system secret and not hard-coded
- Crypto functions have unit tests verifying round-trip correctness"
Epic,Signals & Event Bus,,REQ-31: Signals & Event Bus,"Replicate osTicket's publish/subscribe signal system for inter-component communication. Source: include/class.signal.php",Medium,"mosticket,modernization",Data-Model,,
Story,,Signals & Event Bus,REQ-31.1: Signal Framework,"Signal class implements pub/sub: Signal::connect(name, callback) subscribes, Signal::send(name, object, data) publishes. Used for ticket.created, ticket.updated, ticket.closed, cron, ajax.client, auth events.

Source: include/class.signal.php lines 28-55",Medium,"mosticket,modernization",Data-Model,5,"- Signal::connect registers callbacks for named events
- Signal::send dispatches to all registered callbacks
- Core signals (ticket.created, ticket.updated, ticket.closed) fire correctly
- Plugins can register signal handlers for extensibility
- Signal dispatch does not block the main request on slow handlers
- Unhandled exceptions in handlers are caught and logged
- Unit tests verify signal registration and dispatch"
Epic,Installation & Upgrade Framework,,REQ-32: Installation & Upgrade Framework,"Replicate osTicket's setup wizard, database migration framework, and upgrade path management. Source: include/class.setup.php, include/class.upgrader.php, include/class.migrater.php",Medium,"mosticket,modernization",Migration,,
Story,,Installation & Upgrade Framework,REQ-32.1: Initial Setup & Provisioning,"Setup wizard: database connection, admin account creation, default data seeding (departments, SLAs, forms, help topics, templates, roles, teams).

Source: include/class.setup.php, include/class.i18n.php loadDefaultData()",Medium,"mosticket,modernization",Migration,8,"- Setup wizard guides through initial configuration steps
- Database/org connection is validated before proceeding
- Admin account is created with full permissions
- Default data is seeded: departments, SLAs, forms, help topics, email templates, roles, teams
- Setup is idempotent (re-running does not duplicate seed data)
- Setup completion is recorded to prevent accidental re-run
- Setup wizard is accessible only when system is not yet configured"
Story,,Installation & Upgrade Framework,REQ-32.2: Database Migration Framework,"Migrater class applies versioned migration scripts (SQL patches) in sequence. Tracks applied migrations to prevent re-execution. Supports rollback.

Source: include/class.migrater.php, setup/inc/streams/",Medium,"mosticket,modernization",Migration,8,"- Migration scripts are versioned and applied in sequence
- Applied migrations are tracked in a migration history table
- Re-running migrations skips already-applied scripts
- Migration failures roll back the current script and halt
- Migration status is viewable via admin or CLI
- New migrations can be added without modifying existing ones"
Story,,Installation & Upgrade Framework,REQ-32.3: Upgrade Path Management,"Upgrader class detects current version and applies all pending migrations to reach target version. Supports multi-step upgrades across major versions.

Source: include/class.upgrader.php",Medium,"mosticket,modernization",Migration,5,"- Upgrader detects current schema version automatically
- All pending migrations between current and target version are applied in order
- Multi-step upgrades across major versions are supported
- Pre-upgrade backup reminder is displayed
- Upgrade progress is displayed with step count
- Failed upgrade provides clear error and recovery instructions"
Epic,Salesforce Environment Setup,,REQ-33: Salesforce Environment Setup,"Configure the Salesforce platform for MosTicket deployment: org setup, metadata deployment, permission sets, CI/CD, and environment strategy.",High,"mosticket,modernization",Environment,,
Story,,Salesforce Environment Setup,REQ-33.1: Org Configuration & Connected Apps,"Set up Salesforce org with required features enabled, connected app for API access, and named credentials for external integrations (email servers, etc.).",High,"mosticket,modernization",Environment,5,"- Salesforce org has all required features enabled (Experience Cloud, Platform Events, etc.)
- Connected app is created with appropriate OAuth scopes
- Named credentials are configured for external email server integration
- API user with minimum required permissions is provisioned
- Connected app callback URLs are configured for all environments"
Story,,Salesforce Environment Setup,REQ-33.2: Custom Object Deployment,"All MosTicket custom objects, fields, relationships, validation rules, and triggers are deployable via Metadata API / SFDX.

Source: Derived from REQ-1 through REQ-20 object definitions",High,"mosticket,modernization",Environment,8,"- All custom objects are defined in SFDX source format
- Deployment to a scratch org completes without errors
- All lookup and master-detail relationships resolve correctly
- Validation rules are active post-deployment
- Triggers compile and deploy without errors
- Deployment is repeatable (idempotent via SFDX push/deploy)
- Metadata is version-controlled in the repository"
Story,,Salesforce Environment Setup,REQ-33.3: Permission Sets & Profiles,"Create Salesforce permission sets mapped to osTicket roles: System Admin, Agent (Full), Agent (Limited), Client Portal User.",High,"mosticket,modernization",Environment,5,"- Permission sets exist for: System Admin, Agent Full, Agent Limited, Client Portal User
- Each permission set grants access to the correct objects, fields, and tabs
- Field-level security is configured per permission set
- Client Portal permission set restricts access to portal-visible objects only
- Permission sets are deployable via metadata API
- Assignment of permission sets to users is documented"
Story,,Salesforce Environment Setup,REQ-33.4: CI/CD Pipeline,"Automated pipeline for validating, testing, and deploying MosTicket metadata and code across environments.",High,"mosticket,modernization",Environment,8,"- CI pipeline runs on every pull request (validate + run tests)
- CD pipeline deploys to staging on merge to develop
- Production deployment requires manual approval gate
- Pipeline includes: metadata validation, Apex test execution, code coverage check (>=75%)
- Deployment rollback procedure is documented and tested
- Pipeline runs complete within 15 minutes for full deployment"
Story,,Salesforce Environment Setup,REQ-33.5: Environment Strategy,"Define dev, QA, staging, and production environments with data seeding, sandbox refresh strategy, and environment-specific configuration.

Source: Salesforce best practices for ISV/enterprise deployment",Medium,"mosticket,modernization",Environment,5,"- Environment plan documents dev, QA, staging, and production orgs
- Sandbox refresh schedule and procedure is documented
- Environment-specific configuration (endpoints, credentials) uses custom metadata
- Data seeding scripts populate test data in non-production environments
- Environment parity is maintained via automated deployment from source control
- Org health check verifies configuration matches expected state"
Epic,Non-Functional Requirements,,REQ-34: Non-Functional Requirements,"Performance, accessibility, backup/recovery, monitoring, and documentation requirements for production readiness.",High,"mosticket,modernization",Infrastructure,,
Story,,Non-Functional Requirements,REQ-34.1: Performance & Scalability,"System must handle concurrent users and large data volumes within Salesforce governor limits. Key performance targets for search, list views, and ticket operations.",High,"mosticket,modernization",Infrastructure,8,"- Ticket list view loads within 3 seconds for 100K+ tickets
- Ticket detail page loads within 2 seconds
- Search returns results within 3 seconds for full-text queries
- Bulk operations (mass close, mass assign) handle 200 records per batch
- All Apex code respects governor limits (SOQL queries, DML, CPU time)
- Load test with 50 concurrent agents passes without errors
- Performance baseline is documented for regression tracking"
Story,,Non-Functional Requirements,REQ-34.2: Accessibility (WCAG 2.1 AA),"Client portal and agent interface must meet WCAG 2.1 Level AA accessibility standards.",Medium,"mosticket,modernization",Infrastructure,8,"- All pages pass automated accessibility scan (axe-core or equivalent)
- Keyboard navigation works for all interactive elements
- Screen reader compatibility is verified for core workflows
- Color contrast ratios meet AA minimums (4.5:1 for text)
- Form inputs have associated labels
- Error messages are announced to assistive technology
- Focus management is correct for modal dialogs and dynamic content"
Story,,Non-Functional Requirements,REQ-34.3: Data Backup & Recovery,"Backup strategy for Salesforce data including weekly full exports, daily incremental backups, and point-in-time recovery procedures.",Medium,"mosticket,modernization",Infrastructure,5,"- Weekly full data export is scheduled via Salesforce Data Export
- Daily incremental backup captures changed records
- Recovery procedure is documented and tested quarterly
- Recovery time objective (RTO) is defined and achievable
- Recovery point objective (RPO) is < 24 hours
- File attachments are included in the backup scope"
Story,,Non-Functional Requirements,REQ-34.4: Monitoring & Alerting,"Application monitoring for error rates, performance degradation, email processing failures, and governor limit warnings.",Medium,"mosticket,modernization",Infrastructure,5,"- Error rate monitoring alerts on spike above baseline
- Apex exception emails are configured for admin notification
- Email fetcher failure triggers alert within 15 minutes
- Governor limit usage warnings fire at 80% threshold
- Scheduled job failure alerts are sent to admin
- Dashboard shows system health status at a glance"
Story,,Non-Functional Requirements,REQ-34.5: Documentation & Runbooks,"Technical documentation covering architecture, deployment, operations, and troubleshooting for the MosTicket platform.",Medium,"mosticket,modernization",Infrastructure,5,"- Architecture document describes all custom objects, integrations, and data flows
- Deployment runbook covers step-by-step deployment to each environment
- Operations runbook covers common admin tasks (user management, email config, etc.)
- Troubleshooting guide covers top 20 known issues with resolution steps
- API documentation covers all endpoints with request/response examples
- Documentation is stored in the repository and kept in sync with code changes"
Epic,Priority Management,,REQ-35: Priority Management,"Replicate osTicket's priority levels and their integration with tickets, SLAs, and filters. Source: include/class.priority.php",Medium,"mosticket,modernization",Data-Model,,
Story,,Priority Management,REQ-35.1: Priority Levels,"Priority model with: priority_id, desc (display name), priority_color, priority_urgency (integer for sort), ispublic. Default priorities: Low (3), Normal (2), High (1), Emergency (0).

Source: include/class.priority.php",Medium,"mosticket,modernization",Data-Model,3,"- Priority object with name, color, urgency, and public flag
- Default priorities seeded: Low, Normal, High, Emergency
- Urgency integer controls sort order (lower = more urgent)
- Priority color displays in ticket list views
- ispublic controls visibility in client portal
- Priority is selectable on ticket creation and editable on existing tickets
- Priority CRUD works via admin UI"
